bill_number,session,session_type,chamber,action_date,action,journal_page,order
ajr0110,2023,RS,Sen.,2024-02-26,Available for scheduling,,9
ajr0110,2023,RS,Sen.,2024-04-15,Failed to concur in pursuant to Senate Joint Resolution 1,970,10
ajr0111,2023,RS,Asm.,2024-01-25,"Introduced by Representatives Dittrich, Zimmerman, Sinicki, Nedweski, Gundrum, Mursau, Bare, Binsfeld, Conley, Stubbs, Ohnstad, Murphy, Edming, Jacobson, Tittl, O'Connor, Subeck, Moses, Drake, Emerson, Tusler, Shankland and Ratcliff; 
cosponsored by Senators Testin, Wirch, Spreitzer, Agard and Larson",594,1
ajr0111,2023,RS,Asm.,2024-01-25,Read and referred to Committee on Rules,594,2
ajr0111,2023,RS,Asm.,2024-02-08,Placed on calendar 2-13-2024 by Committee on Rules,,3
ajr0111,2023,RS,Asm.,2024-02-13,Rules suspended to withdraw from calendar and take up,661,4
ajr0111,2023,RS,Asm.,2024-02-13,Adopted,662,5
ajr0111,2023,RS,Asm.,2024-02-13,Representative Vining added as a coauthor,662,6
ajr0111,2023,RS,Asm.,2024-02-13,Ordered immediately messaged,662,7
ajr0111,2023,RS,Sen.,2024-02-13,Received from Assembly,812,8
ajr0111,2023,RS,Sen.,2024-02-13,Available for scheduling,,9
ajr0111,2023,RS,Sen.,2024-02-13,Placed on calendar 2-13-2024 pursuant to Senate Rule 18(1),791,10
ajr0111,2023,RS,Sen.,2024-02-13,Rules suspended and taken up,810,11
ajr0111,2023,RS,Sen.,2024-02-13,Concurred in,811,12
ajr0111,2023,RS,Sen.,2024-02-13,Ordered immediately messaged,811,13
ajr0111,2023,RS,Asm.,2024-02-13,Received from Senate concurred in,659,14
ajr0111,2023,RS,Asm.,2024-02-15,Report correctly enrolled on 2-15-2024,689,15
ajr0112,2023,RS,Asm.,2024-02-02,"Introduced by Representatives Nedweski, Kitchens, Sortwell, Armstrong, Binsfeld, Bodden, Callahan, Dittrich, Donovan, Edming, Goeben, Green, Gundrum, Gustafson, Macco, Magnafici, Maxey, Moses, Murphy, O'Connor, Penterman, Petryk, Rettinger, Rozar, Sapik, Schraa, Spiros and Steffen; 
cosponsored by Senators Knodl, Nass, Bradley, Tomczyk and Wanggaard",625,1
ajr0112,2023,RS,Asm.,2024-02-02,Read first time and referred to Committee on State Affairs,625,2
ajr0112,2023,RS,Asm.,2024-02-07,Representative Katsma added as a coauthor,643,3
ajr0112,2023,RS,Asm.,2024-02-07,Public hearing held,,4
ajr0112,2023,RS,Asm.,2024-02-13,Executive action taken,,5
ajr0112,2023,RS,Asm.,2024-02-14,"Report adoption recommended by Committee on State Affairs, Ayes 8, Noes 5",678,6
ajr0112,2023,RS,Asm.,2024-02-14,Referred to committee on Rules,678,7
ajr0112,2023,RS,Asm.,2024-02-15,Placed on calendar 2-20-2024 by Committee on Rules,,8
ajr0112,2023,RS,Asm.,2024-02-20,Read a second time,717,9
ajr0112,2023,RS,Asm.,2024-02-20,Ordered to a third reading,717,10
ajr0112,2023,RS,Asm.,2024-02-20,Rules suspended,717,11
ajr0112,2023,RS,Asm.,2024-02-20,"Read a third time and adopted, Ayes 64, Noes 34",717,12
ajr0112,2023,RS,Asm.,2024-02-20,Ordered immediately messaged,718,13
ajr0112,2023,RS,Sen.,2024-02-21,Received from Assembly,856,14
ajr0112,2023,RS,Sen.,2024-02-26,Read first time and referred to committee on Government Operations,872,15
ajr0112,2023,RS,Sen.,2024-03-06,Public hearing held,,16
ajr0112,2023,RS,Sen.,2024-03-07,Executive action taken,,17
ajr0112,2023,RS,Sen.,2024-03-07,"Report concurrence recommended by Committee on Government Operations, Ayes 3, Noes 2",896,18
ajr0112,2023,RS,Sen.,2024-03-07,Available for scheduling,,19
ajr0112,2023,RS,Sen.,2024-03-11,Placed on calendar 3-12-2024 pursuant to Senate Rule 18(1),903,20
ajr0112,2023,RS,Sen.,2024-03-12,Read a second time,911,21
ajr0112,2023,RS,Sen.,2024-03-12,Ordered to a third reading,911,22
ajr0112,2023,RS,Sen.,2024-03-12,Rules suspended to give bill its third reading,911,23
ajr0112,2023,RS,Sen.,2024-03-12,"Read a third time and concurred in, Ayes 22, Noes 10",911,24
ajr0112,2023,RS,Sen.,2024-03-12,Ordered immediately messaged,920,25
ajr0112,2023,RS,Asm.,2024-03-12,Received from Senate concurred in,796,26
ajr0112,2023,RS,Asm.,2024-03-19,Report correctly enrolled on 3-19-2024,810,27
ajr0112,2023,RS,Asm.,2024-03-19,Deposited in the office of the Secretary of State on 3-19-2024,841,28
ajr0112,2023,RS,Asm.,2024-04-29,Published 4-29-2024.  Enrolled Joint Resolution 16,841,29
ajr0113,2023,RS,Asm.,2024-02-07,"Introduced by Representatives Rozar, Andraca, Bare, Behnke, Binsfeld, Callahan, Dittrich, Edming, Magnafici, Moses, Murphy, Mursau, Nedweski, Novak, O'Connor, Palmeri, Penterman, Schmidt, Shankland, Sinicki, Stubbs, Subeck, Joers and Jacobson; 
cosponsored by Senators Ballweg, Carpenter, Cowles, Felzkowski, Larson, Marklein, Roys, Spreitzer, Testin and Agard",635,1
ajr0113,2023,RS,Asm.,2024-02-07,Read and referred to Committee on Rules,635,2
ajr0113,2023,RS,Asm.,2024-02-08,Placed on calendar 2-13-2024 by Committee on Rules,,3
ajr0113,2023,RS,Asm.,2024-02-12,Representative Kitchens added as a coauthor,655,4
ajr0113,2023,RS,Asm.,2024-02-13,Rules suspended to withdraw from calendar and take up,662,5
ajr0113,2023,RS,Asm.,2024-02-13,Adopted,662,6
ajr0113,2023,RS,Asm.,2024-02-13,Representative Vining added as a coauthor,662,7
ajr0113,2023,RS,Asm.,2024-02-13,Ordered immediately messaged,662,8
ajr0113,2023,RS,Sen.,2024-02-13,Received from Assembly,812,9
ajr0113,2023,RS,Sen.,2024-02-13,Available for scheduling,,10
ajr0113,2023,RS,Sen.,2024-02-13,Placed on calendar 2-13-2024 pursuant to Senate Rule 18(1),791,11
ajr0113,2023,RS,Sen.,2024-02-13,Rules suspended and taken up,811,12
ajr0113,2023,RS,Sen.,2024-02-13,Concurred in,811,13
ajr0113,2023,RS,Sen.,2024-02-13,Ordered immediately messaged,811,14
ajr0113,2023,RS,Asm.,2024-02-13,Received from Senate concurred in,659,15
ajr0113,2023,RS,Asm.,2024-02-16,Report correctly enrolled on 2-16-2024,702,16
ajr0114,2023,RS,Asm.,2024-02-07,"Introduced by Representative Shelton; 
cosponsored by Senator Wimberger",635,1
ajr0114,2023,RS,Asm.,2024-02-07,Read and referred to Committee on Rules,635,2
ajr0114,2023,RS,Asm.,2024-02-12,Representative Subeck added as a coauthor,660,3
ajr0114,2023,RS,Asm.,2024-02-15,Placed on calendar 2-20-2024 by Committee on Rules,,4
ajr0114,2023,RS,Asm.,2024-02-20,Rules suspended to withdraw from calendar and take up,717,5
ajr0114,2023,RS,Asm.,2024-02-20,Adopted,717,6
ajr0114,2023,RS,Asm.,2024-02-20,Ordered immediately messaged,717,7
ajr0114,2023,RS,Sen.,2024-02-21,Received from Assembly,856,8
ajr0114,2023,RS,Sen.,2024-02-26,Read and referred to committee on Senate Organization,872,9
ajr0114,2023,RS,Sen.,2024-02-26,Available for scheduling,,10
ajr0114,2023,RS,Sen.,2024-04-15,Failed to concur in pursuant to Senate Joint Resolution 1,970,11
ajr0115,2023,RS,Asm.,2024-02-12,"Introduced by Representatives Gundrum, Armstrong, Bare, Behnke, Binsfeld, Callahan, Dittrich, Donovan, Drake, Duchow, Edming, Gustafson, Jacobson, Krug, Magnafici, Maxey, Moore Omokunde, Novak, O'Connor, Ohnstad, Ortiz-Velez, Petryk, Ratcliff, Rettinger, Rozar, Tittl, Schmidt, Shankland, Sinicki, Sortwell, Spiros, Tusler and Wittke; 
cosponsored by Senators Testin, Ballweg, Carpenter, Cowles, Marklein, Nass, Spreitzer and Wirch",650,1
ajr0115,2023,RS,Asm.,2024-02-12,Read and referred to Committee on Rules,650,2
ajr0115,2023,RS,Asm.,2024-02-13,Senator Wanggaard added as a cosponsor,682,3
ajr0115,2023,RS,Asm.,2024-02-13,Placed on calendar 2-15-2024 by Committee on Rules,,4
ajr0115,2023,RS,Asm.,2024-02-14,"Representatives Schraa, VanderMeer, Joers and C. Anderson added as coauthors",683,5
ajr0115,2023,RS,Asm.,2024-02-15,Adopted,700,6
ajr0115,2023,RS,Asm.,2024-02-15,Ordered immediately messaged,700,7
ajr0115,2023,RS,Sen.,2024-02-15,Received from Assembly,817,8
ajr0115,2023,RS,Sen.,2024-02-16,Representative Subeck added as a coauthor,822,9
ajr0115,2023,RS,Sen.,2024-02-19,Read and referred to committee on Senate Organization,832,10
ajr0115,2023,RS,Sen.,2024-02-19,Available for scheduling,,11
ajr0115,2023,RS,Sen.,2024-03-11,Placed on calendar 3-12-2024 pursuant to Senate Rule 18(1),903,12
ajr0115,2023,RS,Sen.,2024-04-15,Failed to concur in pursuant to Senate Joint Resolution 1,970,13
ajr0116,2023,RS,Asm.,2024-02-12,"Introduced by Representatives Subeck, Dittrich, C. Anderson, Andraca, Bare, Binsfeld, Clancy, Conley, Drake, Emerson, Joers, Madison, Moore Omokunde, Mursau, Nedweski, O'Connor, Ohnstad, Palmeri, Ratcliff, Schutt, Shankland, Shelton, Sinicki, Stubbs and Jacobson; 
cosponsored by Senators Ballweg, L. Johnson, Larson, Roys, Spreitzer and Agard",650,1
ajr0116,2023,RS,Asm.,2024-02-12,Read and referred to Committee on Rules,650,2
ajr0116,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0117,2023,RS,Asm.,2024-02-12,"Introduced by Representative Katsma; 
cosponsored by Senator Marklein",650,1
ajr0117,2023,RS,Asm.,2024-02-12,Read first time and referred to Committee on State Affairs,650,2
ajr0117,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0118,2023,RS,Asm.,2024-02-12,"Introduced by Representatives Vos, Neubauer, August, Binsfeld, Magnafici, Armstrong, Spiros, Wittke, Novak, Bare, Stubbs, Ohnstad, C. Anderson, Steffen, O'Connor, Duchow, Dittrich, Summerfield, Michalski, Zimmerman, Macco, Shelton, Sinicki, S. Johnson, Considine, Palmeri, Subeck, Kitchens, Schraa and Jacobson; 
cosponsored by Senators LeMahieu, Hesselbein, James, Ballweg, Testin, L. Johnson, Wirch and Roys",650,1
ajr0118,2023,RS,Asm.,2024-02-12,Read and referred to Committee on Rules,650,2
ajr0118,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0119,2023,RS,Asm.,2024-02-12,"Introduced by Representatives Gustafson, Emerson, Bare, Melotik, Jacobson, Andraca, Behnke, Conley, Dittrich, Joers, Mursau, O'Connor, Palmeri, Petryk, Ratcliff, Shankland, Shelton, Sinicki, Stubbs, Subeck and Ohnstad; 
cosponsored by Senators Feyen, Agard, Spreitzer, Ballweg, Larson, Marklein, Roys and Wirch",650,1
ajr0119,2023,RS,Asm.,2024-02-12,Read and referred to Committee on Rules,651,2
ajr0119,2023,RS,Asm.,2024-04-03,Representative Madison added as a coauthor,828,3
ajr0119,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,4
ajr0120,2023,RS,Asm.,2024-02-12,"Introduced by Representatives Gustafson, Magnafici, Ratcliff, Mursau, Clancy, C. Anderson, Sinicki, Jacobson, Krug, Dittrich, Shankland, Emerson, Joers, Subeck and Bare; 
cosponsored by Senators Carpenter, Roys, Spreitzer and Cabral-Guevara",651,1
ajr0120,2023,RS,Asm.,2024-02-12,Read and referred to Committee on Rules,651,2
ajr0120,2023,RS,Asm.,2024-02-13,Representative Stubbs added as a coauthor,661,3
ajr0120,2023,RS,Asm.,2024-02-21,Representative Murphy added as a coauthor,746,4
ajr0120,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,5
ajr0121,2023,RS,Asm.,2024-02-14,"Introduced by Representatives Billings, Oldenburg, Doyle, Pronschinske and Tranel; 
cosponsored by Senators Marklein, Smith and Pfaff",673,1
ajr0121,2023,RS,Asm.,2024-02-14,Read and referred to Committee on Rules,673,2
ajr0121,2023,RS,Asm.,2024-02-15,Placed on calendar 2-20-2024 by Committee on Rules,,3
ajr0121,2023,RS,Asm.,2024-02-20,Representative Shankland added as a coauthor,743,4
ajr0121,2023,RS,Asm.,2024-02-20,Laid on the table,743,5
ajr0121,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,6
ajr0122,2023,RS,Asm.,2024-02-14,"Introduced by Representatives Palmeri, Krug, C. Anderson, Conley, Dittrich, Drake, Emerson, Jacobson, Joers, S. Johnson, Moore Omokunde, Mursau, Ohnstad, Shankland, Sinicki, Stubbs and Subeck; 
cosponsored by Senators Spreitzer, Roys, Jacque and Agard",673,1
ajr0122,2023,RS,Asm.,2024-02-14,Read and referred to Committee on Rules,673,2
ajr0122,2023,RS,Asm.,2024-04-03,Representative Madison added as a coauthor,828,3
ajr0122,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,4
ajr0123,2023,RS,Asm.,2024-02-14,"Introduced by Representatives Moses, August, Behnke, Bodden, Callahan, Donovan, Edming, Goeben, Gundrum, Krug, Magnafici, Murphy, O'Connor, Penterman, Plumer, Rettinger, Schmidt, Steffen, Wichgers, Brandtjen and Schraa; 
cosponsored by Senators Bradley, Jacque, James, Quinn, Stafsholt, Testin, Felzkowski and Cabral-Guevara",673,1
ajr0123,2023,RS,Asm.,2024-02-14,Read and referred to Committee on Rules,673,2
ajr0123,2023,RS,Asm.,2024-02-15,Placed on calendar 2-20-2024 by Committee on Rules,,3
ajr0123,2023,RS,Asm.,2024-02-20,Laid on the table,743,4
ajr0123,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,5
ajr0124,2023,RS,Asm.,2024-02-16,"Introduced by Representatives Emerson, J. Anderson, Bare, Conley, Considine, Drake, Jacobson, Joers, Ohnstad, Moore Omokunde, Palmeri, Ratcliff, Shankland, Sinicki, Snodgrass, Stubbs, Subeck and Clancy; 
cosponsored by Senators Smith, L. Johnson, Agard, Larson, Pfaff, Roys and Spreitzer",701,1
ajr0124,2023,RS,Asm.,2024-02-16,Read and referred to Committee on Rules,701,2
ajr0124,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0125,2023,RS,Asm.,2024-02-16,"Introduced by Representatives Mursau, Gundrum, Ratcliff and Wittke; 
cosponsored by Senator James",701,1
ajr0125,2023,RS,Asm.,2024-02-16,Read and referred to Committee on Rules,701,2
ajr0125,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0126,2023,RS,Asm.,2024-02-16,"Introduced by Representatives Kitchens, August, Plumer, Tranel, Billings, McGuire, Allen, Armstrong, Behnke, Binsfeld, Callahan, Dittrich, Edming, Jacobson, Krug, Magnafici, O'Connor, Ortiz-Velez, Penterman, Rettinger, Schmidt, Schutt, Swearingen, Tittl and Wittke; 
cosponsored by Senators Testin, Jacque, Roys and Larson",701,1
ajr0126,2023,RS,Asm.,2024-02-16,Read and referred to Committee on Rules,701,2
ajr0126,2023,RS,Asm.,2024-02-19,Representative Subeck added as a coauthor,709,3
ajr0126,2023,RS,Asm.,2024-02-20,Placed on calendar 2-22-2024 by Committee on Rules,,4
ajr0126,2023,RS,Asm.,2024-02-21,Representative Murphy added as a coauthor,746,5
ajr0126,2023,RS,Asm.,2024-02-22,Adopted,749,6
ajr0126,2023,RS,Asm.,2024-02-22,Ordered immediately messaged,749,7
ajr0126,2023,RS,Sen.,2024-02-22,Received from Assembly,858,8
ajr0126,2023,RS,Sen.,2024-02-26,Read and referred to committee on Senate Organization,872,9
ajr0126,2023,RS,Sen.,2024-02-26,Available for scheduling,,10
ajr0126,2023,RS,Sen.,2024-03-11,Placed on calendar 3-12-2024 pursuant to Senate Rule 18(1),903,11
ajr0126,2023,RS,Sen.,2024-04-15,Failed to concur in pursuant to Senate Joint Resolution 1,970,12
ajr0127,2023,RS,Asm.,2024-02-16,"Introduced by Representatives Moses, Rozar, Michalski, Bodden, C. Anderson, Drake, Emerson, Jacobson, Magnafici, Mursau, O'Connor, Ratcliff, Schraa, Shankland, Sinicki, Stubbs, Tittl and Andraca; 
cosponsored by Senators James, Ballweg, Quinn, Roys and Spreitzer",701,1
ajr0127,2023,RS,Asm.,2024-02-16,Read and referred to Committee on Rules,701,2
ajr0127,2023,RS,Asm.,2024-02-19,Representative Subeck added as a coauthor,709,3
ajr0127,2023,RS,Asm.,2024-02-20,Placed on calendar 2-22-2024 by Committee on Rules,,4
ajr0127,2023,RS,Asm.,2024-02-21,Representative Murphy added as a coauthor,747,5
ajr0127,2023,RS,Asm.,2024-02-22,Adopted,749,6
ajr0127,2023,RS,Asm.,2024-02-22,Ordered immediately messaged,749,7
ajr0127,2023,RS,Sen.,2024-02-22,Received from Assembly,858,8
ajr0127,2023,RS,Sen.,2024-02-26,Read and referred to committee on Senate Organization,872,9
ajr0127,2023,RS,Sen.,2024-02-26,Available for scheduling,,10
ajr0127,2023,RS,Sen.,2024-03-01,Representative Vining added as a coauthor,884,11
ajr0127,2023,RS,Sen.,2024-04-15,Failed to concur in pursuant to Senate Joint Resolution 1,970,12
ajr0128,2023,RS,Asm.,2024-02-16,"Introduced by Representatives Moses, Sapik, Allen, Armstrong, Behnke, Binsfeld, Bodden, Callahan, Dittrich, Donovan, Duchow, Edming, Goeben, Green, Gundrum, Hurd, Magnafici, Maxey, Melotik, Michalski, O'Connor, Penterman, Plumer, Rettinger, Rozar, Schraa, Sortwell, Spiros, Steffen, Summerfield, Tusler, Vos and Murphy; 
cosponsored by Senators Knodl, Stroebel, Cabral-Guevara, Testin, Tomczyk, Stafsholt and Quinn",701,1
ajr0128,2023,RS,Asm.,2024-02-16,Read and referred to Committee on Rules,701,2
ajr0128,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0129,2023,RS,Asm.,2024-02-20,"Introduced by Representatives Vos, Murphy and Doyle; 
cosponsored by Senator Quinn",710,1
ajr0129,2023,RS,Asm.,2024-02-20,Read and referred to Committee on Rules,710,2
ajr0129,2023,RS,Asm.,2024-02-20,Placed on calendar 2-22-2024 by Committee on Rules,,3
ajr0129,2023,RS,Asm.,2024-02-22,Adopted,749,4
ajr0129,2023,RS,Asm.,2024-02-22,Ordered immediately messaged,749,5
ajr0129,2023,RS,Sen.,2024-02-22,Received from Assembly,858,6
ajr0129,2023,RS,Sen.,2024-02-26,Read and referred to committee on Senate Organization,872,7
ajr0129,2023,RS,Sen.,2024-02-26,Available for scheduling,,8
ajr0129,2023,RS,Sen.,2024-03-11,Placed on calendar 3-12-2024 pursuant to Senate Rule 18(1),903,9
ajr0129,2023,RS,Sen.,2024-04-15,Failed to concur in pursuant to Senate Joint Resolution 1,970,10
ajr0130,2023,RS,Asm.,2024-02-20,"Introduced by Representatives Jacobson, Oldenburg, J. Anderson, Armstrong, Baldeh, Bare, Drake, Emerson, Joers, O'Connor, Ohnstad, Ratcliff and Sinicki; 
cosponsored by Senators Spreitzer, Pfaff, Agard, Larson, Roys and Wirch",710,1
ajr0130,2023,RS,Asm.,2024-02-20,Read and referred to Committee on Rules,711,2
ajr0130,2023,RS,Asm.,2024-02-20,Placed on calendar 2-22-2024 by Committee on Rules,,3
ajr0130,2023,RS,Asm.,2024-02-22,Adopted,749,4
ajr0130,2023,RS,Asm.,2024-02-22,Representative Subeck added as a coauthor,749,5
ajr0130,2023,RS,Asm.,2024-02-22,Ordered immediately messaged,750,6
ajr0130,2023,RS,Sen.,2024-02-22,Received from Assembly,858,7
ajr0130,2023,RS,Sen.,2024-02-26,Read and referred to committee on Senate Organization,872,8
ajr0130,2023,RS,Sen.,2024-02-26,Available for scheduling,,9
ajr0130,2023,RS,Sen.,2024-03-11,Placed on calendar 3-12-2024 pursuant to Senate Rule 18(1),903,10
ajr0130,2023,RS,Sen.,2024-04-15,Failed to concur in pursuant to Senate Joint Resolution 1,970,11
ajr0131,2023,RS,Asm.,2024-02-20,"Introduced by Representatives Haywood, Vos and Drake; 
cosponsored by Senators Wanggaard and L. Johnson",711,1
ajr0131,2023,RS,Asm.,2024-02-20,Read and referred to Committee on Rules,711,2
ajr0131,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0132,2023,RS,Asm.,2024-02-23,"Introduced by Representatives Moses, Michalski, Armstrong, Bodden, O'Connor, Rettinger, Schmidt and Behnke; 
cosponsored by Senators Hutton and Knodl",781,1
ajr0132,2023,RS,Asm.,2024-02-23,Read first time and referred to Committee on Labor and Integrated Employment,781,2
ajr0132,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0133,2023,RS,Asm.,2024-02-23,"Introduced by Representatives Myers, Andraca, Bare, Binsfeld, Conley, Considine, Drake, Emerson, Jacobson, Joers, Moore Omokunde, Murphy, O'Connor, Ohnstad, Ratcliff, Rozar, Shankland, Stubbs and Subeck; 
cosponsored by Senators Agard, Cowles, Larson and Spreitzer",781,1
ajr0133,2023,RS,Asm.,2024-02-23,Read and referred to Committee on Rules,781,2
ajr0133,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0134,2023,RS,Asm.,2024-02-23,"Introduced by Representatives Conley, Andraca, Drake, Emerson, Joers, Moore Omokunde, Ohnstad, Ortiz-Velez, Ratcliff, Shankland, Sinicki and Subeck; 
cosponsored by Senators Spreitzer, Larson, Roys and Agard",781,1
ajr0134,2023,RS,Asm.,2024-02-23,Read and referred to Committee on Rules,781,2
ajr0134,2023,RS,Asm.,2024-02-27,Senator Cowles added as a cosponsor,785,3
ajr0134,2023,RS,Asm.,2024-04-03,Representative Madison added as a coauthor,828,4
ajr0134,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,5
ajr0135,2023,RS,Asm.,2024-02-23,"Introduced by Representatives Wichgers, Myers, Behnke, Donovan, Gundrum, O'Connor, Ortiz-Velez and Stubbs",781,1
ajr0135,2023,RS,Asm.,2024-02-23,Read and referred to Committee on Rules,781,2
ajr0135,2023,RS,Asm.,2024-03-06,Senator Bradley added as a cosponsor,795,3
ajr0135,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,4
ajr0136,2023,RS,Asm.,2024-02-23,"Introduced by Representatives Myers, Snodgrass, J. Anderson, Andraca, Conley, Dittrich, Donovan, Emerson, Joers, Mursau, Nedweski, Ratcliff, Schmidt, Shankland, Sinicki and Stubbs; 
cosponsored by Senators Felzkowski, Ballweg, Larson, Roys, Spreitzer, Wirch and Agard",781,1
ajr0136,2023,RS,Asm.,2024-02-23,Read and referred to Committee on Rules,781,2
ajr0136,2023,RS,Asm.,2024-02-26,Representative Subeck added as a coauthor,785,3
ajr0136,2023,RS,Asm.,2024-03-11,Representative Palmeri added as a coauthor,798,4
ajr0136,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,5
ajr0137,2023,RS,Asm.,2024-02-23,"Introduced by Representatives Dittrich, Subeck, Donovan, C. Anderson, Bare, Rozar, Drake, Emerson, Joers, Binsfeld, Stubbs, Sinicki, Mursau, Ratcliff, Neubauer, Moore Omokunde, O'Connor, Clancy, Shankland, Palmeri, Conley, Tranel, Schutt and Armstrong; 
cosponsored by Senators Ballweg, Roys, Larson, Spreitzer, Agard, Carpenter and Pfaff",781,1
ajr0137,2023,RS,Asm.,2024-02-23,Read and referred to Committee on Rules,781,2
ajr0137,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0138,2023,RS,Asm.,2024-02-23,"Introduced by Representatives Drake, Baldeh, Myers, Haywood, Stubbs, Moore Omokunde, Madison, Joers, Goyke, Ratcliff, Sinicki, Emerson, Bare, O'Connor, Clancy, Andraca, Shankland, Subeck, Conley, Doyle, Shelton, C. Anderson, Considine, J. Anderson, Vining, Neubauer, Spiros, Riemer, McGuire, Palmeri, Hong, Billings, Jacobson, Snodgrass, Ohnstad and Ortiz-Velez; 
cosponsored by Senators L. Johnson, Carpenter, Agard, Larson, Roys, Spreitzer and Smith",781,1
ajr0138,2023,RS,Asm.,2024-02-23,Read and referred to Committee on Rules,781,2
ajr0138,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0139,2023,RS,Asm.,2024-03-06,"Introduced by Representatives Goyke, C. Anderson, J. Anderson, Andraca, Baldeh, Bare, Conley, Considine, Dittrich, Doyle, Drake, Emerson, Hong, Jacobson, Joers, Madison, Myers, Neubauer, Novak, Ortiz-Velez, Ratcliff, Shankland, Shelton, Sinicki, Snodgrass, Spiros, Stubbs, Subeck, Tranel, Vining and Ohnstad; 
cosponsored by Senators Pfaff, Roys, Carpenter, Spreitzer, Ballweg, L. Johnson, Wirch and Smith",792,1
ajr0139,2023,RS,Asm.,2024-03-06,Read and referred to Committee on Rules,792,2
ajr0139,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0140,2023,RS,Asm.,2024-03-06,"Introduced by Representatives Palmeri, Subeck, Snodgrass, McGuire, J. Anderson, Andraca, Baldeh, Bare, Conley, Considine, Emerson, Hong, Jacobson, Joers, Madison, Moore Omokunde, Neubauer, Ohnstad, Ratcliff, Shankland, Shelton, Sinicki, Stubbs and Vining; 
cosponsored by Senators L. Johnson, Agard, Larson, Smith, Spreitzer and Wirch",792,1
ajr0140,2023,RS,Asm.,2024-03-06,Read first time and referred to Committee on State Affairs,792,2
ajr0140,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0141,2023,RS,Asm.,2024-03-06,"Introduced by Representatives Rozar, Macco, Steffen, O'Connor, Schmidt, Maxey, Goeben, Doyle, Ratcliff and Joers; 
cosponsored by Senators Cowles, Wimberger, Cabral-Guevara, Wanggaard, Spreitzer and James",792,1
ajr0141,2023,RS,Asm.,2024-03-06,Read and referred to Committee on Rules,792,2
ajr0141,2023,RS,Asm.,2024-03-15,Representative Emerson added as a coauthor,809,3
ajr0141,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,4
ajr0142,2023,RS,Asm.,2024-03-06,"Introduced by Representatives McGuire, Snodgrass, Doyle, Bare, Considine, Emerson, Jacobson, Joers, Ohnstad, Palmeri, Ratcliff, Shankland, Shelton, Sinicki and Subeck; 
cosponsored by Senators Pfaff, Wirch, Agard and Roys",792,1
ajr0142,2023,RS,Asm.,2024-03-06,Read first time and referred to Committee on Government Accountability and Oversight,792,2
ajr0142,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0143,2023,RS,Asm.,2024-03-22,"Introduced by Representatives Stubbs, Madison, Baldeh, Drake, Moore Omokunde and Subeck; 
cosponsored by Senator Roys",813,1
ajr0143,2023,RS,Asm.,2024-03-22,Read and referred to Committee on Rules,813,2
ajr0143,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
ajr0144,2023,RS,Asm.,2024-04-11,"Introduced by Representatives Madison, Joers, Jacobson, Palmeri, C. Anderson, J. Anderson, Bare, Clancy, Hong, Moore Omokunde, Ratcliff and Stubbs; 
cosponsored by Senators Spreitzer, Agard and Larson",833,1
ajr0144,2023,RS,Asm.,2024-04-11,Read first time and referred to Committee on State Affairs,833,2
ajr0144,2023,RS,Asm.,2024-04-15,Failed to adopt pursuant to Senate Joint Resolution 1,837,3
